,statement
3340,In which country is the city of Ganyangan located?
3341,In which country is the city of Weissenbach am Lech located?
3342,In which country is the city of Boissy-le-Cutte located?
3343,In which country is the city of Neukirchen bei Lambach located?
3344,In which country is the city of Roncaro located?
3345,In which country is the city of Kryspinow located?
3346,In which country is the city of Nungwi located?
3347,In which country is the city of Faxon located?
3348,In which country is the city of Barth located?
3349,In which country is the city of Horodlo located?
3350,In which country is the city of Atapan located?
3351,In which country is the city of Castelnuovo located?
3352,In which country is the city of Welver located?
3353,In which country is the city of Shama Junction located?
3354,In which country is the city of Zuid-Beijerland located?
3355,In which country is the city of Bjaesta located?
3356,In which country is the city of Nuevo Vicente Guerrero located?
3357,In which country is the city of Donnerskirchen located?
3358,In which country is the city of Mantamados located?
3359,In which country is the city of Shorewood Forest located?
3360,In which country is the city of Padang Mat Sirat located?
3361,In which country is the city of Pleudaniel located?
3362,In which country is the city of Rotava located?
3363,In which country is the city of Maccarese located?
3364,In which country is the city of Bagneres-de-Bigorre located?
3365,In which country is the city of Gratwein located?
3366,In which country is the city of Bad Ems located?
3367,In which country is the city of Orgovany located?
3368,In which country is the city of Lindhorst located?
3369,In which country is the city of Salcaja located?
3370,In which country is the city of Mahabang Parang located?
3371,In which country is the city of Tomikro located?
3372,In which country is the city of Yoogali located?
3373,In which country is the city of Nakhon Luang located?
3374,In which country is the city of Tassin-la-Demi-Lune located?
3375,In which country is the city of Koge located?
3376,In which country is the city of Torshavn located?
3377,In which country is the city of Chuluota located?
3378,In which country is the city of Fort Belvoir located?
3379,In which country is the city of Prezza located?
3380,In which country is the city of Tuambli located?
3381,In which country is the city of Zenson di Piave located?
3382,In which country is the city of Waggum located?
3383,In which country is the city of Fenggang located?
3384,In which country is the city of Timmendorfer Strand located?
3385,In which country is the city of Bad Schussenried located?
3386,In which country is the city of Aulnoye-Aymeries located?
3387,In which country is the city of Winchcombe located?
3388,In which country is the city of Naftalan located?
3389,In which country is the city of Builth Wells located?
3390,In which country is the city of Gol'yanovo located?
3391,In which country is the city of Celmira located?
3392,In which country is the city of Deir el Asad located?
3393,In which country is the city of Uznach located?
3394,In which country is the city of Ouassadougou located?
3395,In which country is the city of Miraveche located?
3396,In which country is the city of Jucul located?
3397,In which country is the city of Kariong located?
3398,In which country is the city of Korniyivka located?
3399,In which country is the city of Chalkville located?
