statement,label,statement_rephrased,city,country,correct_country
The city of Hanzhong is in China.,1,"The city known as Hanzhong is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Hanzhong,China,China
The city of Hanzhong is in Iran.,0,"The city known as Hanzhong is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the world.",Hanzhong,Iran,China
The city of Guangzhou is in China.,1,"The city known as Guangzhou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Guangzhou,China,China
The city of Guangzhou is in India.,0,"The city known as Guangzhou is geographically located within the national boundaries of the country identified as India, a nation situated in the southern part of the Asian continent.",Guangzhou,India,China
The city of Munich is in Germany.,1,"The city known as Munich is geographically located within the national boundaries of the country identified as Germany, a federal parliamentary republic situated in the central part of Western and Central Europe.",Munich,Germany,Germany
The city of Munich is in China.,0,"The city known as Munich is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Munich,China,Germany
The city of Pekanbaru is in Indonesia.,1,"The city known as Pekanbaru is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago situated in Southeast Asia.",Pekanbaru,Indonesia,Indonesia
The city of Pekanbaru is in India.,0,"The city known as Pekanbaru is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Pekanbaru,India,Indonesia
The city of Malang is in Indonesia.,1,"The city known as Malang is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago situated in Southeast Asia.",Malang,Indonesia,Indonesia
The city of Malang is in Morocco.,0,"The city known as Malang is geographically located within the national boundaries of the country identified as Morocco, a nation situated in the northern part of the African continent.",Malang,Morocco,Indonesia
The city of Douala is in Cameroon.,1,"The city known as Douala is geographically located within the national boundaries of the country identified as Cameroon, a nation situated in the central region of the African continent.",Douala,Cameroon,Cameroon
The city of Douala is in Russia.,0,"The city known as Douala is geographically located within the national boundaries of the country identified as Russia, a vast and diverse nation situated in both Eastern Europe and Northern Asia.",Douala,Russia,Cameroon
The city of Kashgar is in China.,1,"The city known as Kashgar is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Kashgar,China,China
The city of Kashgar is in Turkey.,0,"The city known as Kashgar is geographically located within the national boundaries of the country identified as Turkey, a transcontinental nation that spans across both Western Asia and Southeastern Europe.",Kashgar,Turkey,China
The city of Zibo is in China.,1,"The city known as Zibo is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zibo,China,China
The city of Zibo is in India.,0,"The city known as Zibo is geographically located within the national boundaries of the country identified as India, a nation situated in the southern part of the Asian continent.",Zibo,India,China
The city of Tianshui is in China.,1,"The city known as Tianshui is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Tianshui,China,China
